voltage,current,power
5.96,0.01,0.08
5.98,0.03,0.17
5.96,0.01,0.08
5.98,0.03,0.17
5.96,0.0,0.0
6.01,0.0,0.0
6.01,0.0,0.0
5.98,0.0,0.0
5.91,0.0,0.0
5.98,0.06,0.35
5.93,0.0,0.0
6.05,0.0,0.0
6.03,0.0,0.0
6.13,0.0,0.0
6.03,0.03,0.17
5.96,0.0,0.0
5.93,0.0,0.0
5.98,0.0,0.0
6.03,0.0,0.0
5.86,0.01,0.08
5.98,0.0,0.0
5.86,0.0,0.0
5.93,0.0,0.0
6.05,0.0,0.0
5.96,0.01,0.08
6.05,0.0,0.0
6.05,0.0,0.0
6.01,0.03,0.17
5.98,0.0,0.0
6.01,0.0,0.0
5.96,0.0,0.0
5.98,0.09,0.52
5.88,0.0,0.0
6.03,0.0,0.0
5.91,0.0,0.0
5.93,0.01,0.08
5.93,0.0,0.0
5.98,0.07,0.43
5.93,0.04,0.26
5.93,0.0,0.0
5.98,0.0,0.0
6.08,0.0,0.0
5.96,0.06,0.34
6.1,0.0,0.0
5.96,0.0,0.0
5.98,0.01,0.08
5.83,0.0,0.0
5.98,0.0,0.0
5.93,0.0,0.0
6.15,0.0,0.0
5.98,0.0,0.0
6.01,0.0,0.0
6.1,0.07,0.44
5.91,0.0,0.0
5.93,0.04,0.26
5.96,0.0,0.0
5.98,0.03,0.17
5.96,0.01,0.08
6.01,0.03,0.17
6.05,0.0,0.0
5.96,0.01,0.08
6.1,0.03,0.17
6.08,0.0,0.0
5.96,0.01,0.08
5.96,0.0,0.0
5.96,0.0,0.0
5.98,0.06,0.35
5.96,0.0,0.0
5.93,0.04,0.26
5.96,0.0,0.0
5.96,0.0,0.0
5.98,0.01,0.08
6.1,0.1,0.62
5.98,0.0,0.0
5.91,0.06,0.34
6.03,0.0,0.0
5.96,0.0,0.0
5.96,0.0,0.0
5.96,0.0,0.0
6.01,0.06,0.35
5.96,0.0,0.0
6.03,0.07,0.44
5.96,0.0,0.0
5.98,0.0,0.0
5.98,0.0,0.0
6.01,0.01,0.08
5.96,0.0,0.0
6.05,0.0,0.0
5.91,0.0,0.0
5.98,0.04,0.26
5.98,0.01,0.08
5.88,0.03,0.17
5.96,0.0,0.0
5.96,0.0,0.0
5.96,0.0,0.0
5.98,0.0,0.0
6.01,0.0,0.0
5.93,0.0,0.0
5.71,0.0,0.0
5.98,0.0,0.0
5.93,0.03,0.17
5.98,0.0,0.0
5.91,0.0,0.0
6.08,0.0,0.0
5.98,0.03,0.17
6.05,0.0,0.0
5.98,0.0,0.0
6.03,0.01,0.08
6.08,0.0,0.0
5.93,0.0,0.0
5.96,0.0,0.0
6.03,0.06,0.35
5.93,0.0,0.0
5.96,0.03,0.17
5.98,0.04,0.26
5.96,0.03,0.17
6.03,0.0,0.0
5.98,0.12,0.7
5.93,0.03,0.17
5.96,0.06,0.34
5.93,0.01,0.08
6.01,0.01,0.08
5.98,0.0,0.0
5.96,0.0,0.0
5.98,0.06,0.35
6.03,0.0,0.0
5.98,0.03,0.17
5.98,0.07,0.43
6.05,0.04,0.26
5.96,0.0,0.0
5.86,0.0,0.0
5.93,0.0,0.0
6.05,0.0,0.0
5.98,0.01,0.08
6.13,0.01,0.08
6.05,0.0,0.0
6.01,0.0,0.0
6.08,0.03,0.17
5.96,0.09,0.52
6.05,0.0,0.0
5.96,0.01,0.08
5.96,0.01,0.08
5.98,0.03,0.17
5.98,0.0,0.0
5.96,0.0,0.0
5.91,0.0,0.0
6.05,0.01,0.08
5.93,0.0,0.0
5.98,0.0,0.0
6.08,0.0,0.0
5.93,0.0,0.0
6.1,0.0,0.0
5.96,0.01,0.08
5.96,0.06,0.34
5.96,0.0,0.0
5.93,0.0,0.0
6.03,0.0,0.0
6.05,0.0,0.0
5.93,0.01,0.08
5.98,0.0,0.0
6.01,0.0,0.0
5.91,0.07,0.43
5.98,0.0,0.0
6.03,0.0,0.0
5.98,0.01,0.08
5.96,0.0,0.0
6.1,0.0,0.0
5.91,0.0,0.0
5.96,0.0,0.0
5.96,0.0,0.0
5.96,0.0,0.0
5.96,0.01,0.08
5.98,0.01,0.08
5.98,0.0,0.0
5.96,0.0,0.0
6.01,0.0,0.0
5.98,0.04,0.26
5.96,0.0,0.0
5.96,0.03,0.17
6.05,0.07,0.44
5.93,0.0,0.0
5.96,0.0,0.0
5.96,0.03,0.17
5.98,0.0,0.0
5.96,0.0,0.0
6.01,0.03,0.17
6.01,0.0,0.0
6.08,0.01,0.08
6.08,0.01,0.08
5.96,0.0,0.0
5.98,0.0,0.0
5.96,0.0,0.0
5.96,0.03,0.17
5.98,0.0,0.0
5.98,0.0,0.0
5.98,0.0,0.0
5.98,0.04,0.26
5.93,0.0,0.0
6.1,0.06,0.35
5.93,0.0,0.0
5.93,0.01,0.08
5.96,0.0,0.0
6.1,0.0,0.0
6.03,0.0,0.0
5.98,0.01,0.08
5.93,0.0,0.0
6.03,0.0,0.0
5.96,0.0,0.0
5.88,0.04,0.25
5.98,0.0,0.0
6.03,0.03,0.17
5.93,0.0,0.0
5.96,0.0,0.0
5.88,0.01,0.08
6.08,0.0,0.0
6.05,0.04,0.26
5.93,0.04,0.26
5.96,0.0,0.0
5.96,0.0,0.0
5.98,0.0,0.0
5.96,0.0,0.0
5.93,0.0,0.0
5.93,0.0,0.0
6.01,0.0,0.0
5.98,0.0,0.0
5.91,0.0,0.0
5.96,0.0,0.0
6.08,0.0,0.0
6.05,0.0,0.0
5.98,0.04,0.26
5.91,0.0,0.0
5.96,0.0,0.0
6.03,0.0,0.0
5.96,0.0,0.0
5.96,0.0,0.0
5.96,0.0,0.0
6.03,0.0,0.0
5.96,0.0,0.0
5.98,0.0,0.0
6.08,0.0,0.0
5.96,0.0,0.0
5.93,0.0,0.0
6.13,0.0,0.0
5.96,0.0,0.0
6.01,0.0,0.0
6.05,0.0,0.0
5.93,0.06,0.34
5.98,0.03,0.17
6.1,0.04,0.26
5.93,0.0,0.0
5.96,0.0,0.0
5.98,0.03,0.17
5.98,0.0,0.0
6.01,0.0,0.0
6.01,0.0,0.0
5.96,0.01,0.08
5.96,0.0,0.0
6.03,0.04,0.26
5.98,0.0,0.0
5.96,0.0,0.0
5.88,0.01,0.08
6.03,0.0,0.0
5.98,0.0,0.0
6.03,0.0,0.0
6.01,0.0,0.0
5.96,0.01,0.08
6.05,0.0,0.0
5.96,0.04,0.26
5.96,0.0,0.0
6.03,0.0,0.0
6.13,0.0,0.0
6.03,0.0,0.0
5.93,0.0,0.0
6.05,0.0,0.0
6.01,0.0,0.0
6.03,0.0,0.0
5.93,0.03,0.17
5.96,0.0,0.0
6.23,0.0,0.0
5.98,0.0,0.0
6.01,0.0,0.0
6.08,0.0,0.0
5.98,0.0,0.0
5.96,0.01,0.08
5.91,0.03,0.17
5.96,0.0,0.0
5.91,0.0,0.0
6.08,0.04,0.26
5.96,0.0,0.0
5.96,0.0,0.0
6.15,0.0,0.0
5.88,0.0,0.0
5.93,0.0,0.0
5.98,0.03,0.17
5.96,0.04,0.26
5.93,0.0,0.0
5.96,0.01,0.08
6.03,0.0,0.0
5.96,0.01,0.08
5.96,0.0,0.0
5.96,0.0,0.0
6.05,0.0,0.0
5.98,0.0,0.0
5.96,0.01,0.08
5.93,0.0,0.0
5.96,0.03,0.17
6.03,0.03,0.17
6.1,0.0,0.0
6.01,0.0,0.0
6.05,0.0,0.0
6.01,0.0,0.0
6.03,0.0,0.0
6.1,0.0,0.0
5.96,0.0,0.0
6.05,0.0,0.0
6.01,0.03,0.17
5.96,0.0,0.0
5.91,0.0,0.0
5.96,0.0,0.0
5.96,0.0,0.0
5.93,0.0,0.0
6.08,0.0,0.0
5.93,0.0,0.0
5.98,0.01,0.08
5.93,0.0,0.0
6.01,0.03,0.17
6.01,0.0,0.0
5.93,0.0,0.0
5.96,0.0,0.0
6.03,0.0,0.0
6.03,0.0,0.0
5.93,0.0,0.0
6.01,0.0,0.0
6.05,0.03,0.17
5.98,0.01,0.08
5.83,0.01,0.08
6.03,0.0,0.0
5.86,0.0,0.0
5.98,0.0,0.0
6.08,0.06,0.35
5.93,0.0,0.0
6.03,0.0,0.0
6.01,0.03,0.17
6.08,0.0,0.0
5.71,0.0,0.0
5.98,0.01,0.08
6.03,0.0,0.0
5.96,0.03,0.17
5.98,0.0,0.0
5.98,0.0,0.0
5.96,0.0,0.0
5.93,0.1,0.61
5.93,0.0,0.0
5.62,0.0,0.0
6.05,0.0,0.0
6.1,0.03,0.17
5.98,0.01,0.08
6.23,0.01,0.09
5.98,0.0,0.0
5.96,0.0,0.0
5.86,0.0,0.0
5.96,0.0,0.0
6.03,0.0,0.0
5.96,0.01,0.08
6.25,0.03,0.18
5.96,0.0,0.0
6.03,0.0,0.0
5.96,0.0,0.0
5.98,0.0,0.0
6.13,0.0,0.0
5.96,0.0,0.0
5.96,0.03,0.17
5.96,0.0,0.0
5.96,0.0,0.0
6.13,0.03,0.17
5.96,0.0,0.0
6.05,0.0,0.0
6.01,0.0,0.0
6.03,0.01,0.08
5.98,0.0,0.0
5.98,0.0,0.0
6.01,0.0,0.0
5.91,0.0,0.0
5.96,0.0,0.0
5.96,0.0,0.0
5.91,0.0,0.0
6.03,0.0,0.0
6.01,0.09,0.52
5.96,0.06,0.34
5.96,0.03,0.17
6.15,0.0,0.0
5.98,0.0,0.0
6.01,0.0,0.0
5.96,0.0,0.0
6.03,0.0,0.0
5.98,0.0,0.0
6.1,0.0,0.0
5.83,0.0,0.0
5.96,0.04,0.26
5.93,0.0,0.0
6.03,0.0,0.0
5.91,0.0,0.0
5.98,0.0,0.0
5.98,0.03,0.17
6.01,0.01,0.08
5.96,0.0,0.0
5.96,0.0,0.0
6.03,0.0,0.0
6.1,0.0,0.0
6.01,0.0,0.0
6.1,0.0,0.0
5.96,0.0,0.0
5.91,0.0,0.0
6.1,0.0,0.0
5.96,0.0,0.0
5.96,0.0,0.0
5.96,0.0,0.0
6.1,0.01,0.08
6.03,0.0,0.0
6.05,0.0,0.0
5.98,0.04,0.26
6.01,0.01,0.08
5.98,0.01,0.08
6.01,0.04,0.26
6.1,0.0,0.0
5.91,0.0,0.0
5.96,0.0,0.0
6.01,0.03,0.17
5.93,0.0,0.0
5.96,0.0,0.0
5.96,0.0,0.0
6.01,0.0,0.0
5.96,0.0,0.0
6.01,0.0,0.0
5.93,0.0,0.0
5.93,0.0,0.0
